Date,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close,Nifty_Volume,VIX_Close,USDINR_Close
2025-02-05,23801.75,23807.30078125,23680.44921875,23696.30078125,267000.0,14.079999923706055,87.13009643554688
2025-02-06,23761.94921875,23773.55078125,23556.25,23603.349609375,307000.0,14.180000305175781,87.33409881591797
2025-02-07,23649.5,23694.5,23443.19921875,23559.94921875,368100.0,13.6899995803833,87.58830261230469
2025-02-10,23543.80078125,23568.599609375,23316.30078125,23381.599609375,234200.0,14.449999809265137,87.51309967041016
2025-02-11,23383.55078125,23390.05078125,22986.650390625,23071.80078125,268000.0,14.869999885559082,87.49009704589844
2025-02-12,23050.80078125,23144.69921875,22798.349609375,23045.25,279700.0,14.899999618530273,86.81120300292969
2025-02-13,23055.75,23235.5,22992.19921875,23031.400390625,265700.0,14.960000038146973,86.8740005493164
2025-02-14,23096.44921875,23133.69921875,22774.849609375,22929.25,254500.0,15.020000457763672,86.75409698486328
2025-02-17,22809.900390625,22974.19921875,22725.44921875,22959.5,207400.0,15.720000267028809,86.43460083007812
2025-02-18,22963.650390625,22992.5,22801.5,22945.30078125,210600.0,15.670000076293945,86.85479736328125
2025-02-19,22847.25,23049.94921875,22814.849609375,22932.900390625,207000.0,15.420000076293945,86.88719940185547
2025-02-20,22821.099609375,22923.849609375,22812.75,22913.150390625,240800.0,14.680000305175781,86.872802734375
2025-02-21,22857.19921875,22921.0,22720.30078125,22795.900390625,242800.0,14.529999732971191,86.45120239257812
2025-02-24,22609.349609375,22668.05078125,22518.80078125,22553.349609375,214300.0,14.4399995803833,86.52940368652344
2025-02-25,22516.44921875,22625.30078125,22513.900390625,22547.55078125,250300.0,13.720000267028809,86.69010162353516
2025-02-26,22516.44921875,22625.30078125,22513.900390625,22547.55078125,250300.0,13.720000267028809,87.0811996459961
2025-02-27,22568.94921875,22613.30078125,22508.400390625,22545.05078125,289200.0,13.3100004196167,87.16220092773438
2025-02-28,22433.400390625,22450.349609375,22104.849609375,22124.69921875,551300.0,13.90999984741211,87.3270034790039
2025-03-03,22194.55078125,22261.55078125,22004.69921875,22119.30078125,282400.0,13.760000228881836,87.46399688720703
2025-03-04,21974.44921875,22105.05078125,21964.599609375,22082.650390625,253300.0,13.829999923706055,87.32959747314453
2025-03-05,22073.05078125,22394.900390625,22067.80078125,22337.30078125,305900.0,13.670000076293945,87.21700286865234
2025-03-06,22476.349609375,22556.44921875,22245.849609375,22544.69921875,372100.0,13.729999542236328,86.88929748535156
2025-03-07,22508.650390625,22633.80078125,22464.75,22552.5,289800.0,13.470000267028809,87.12879943847656
2025-03-10,22521.849609375,22676.75,22429.05078125,22460.30078125,293900.0,13.989999771118164,87.07379913330078
2025-03-11,22345.94921875,22522.099609375,22314.69921875,22497.900390625,347900.0,14.069999694824219,87.3551025390625
2025-03-12,22536.349609375,22577.400390625,22329.55078125,22470.5,369700.0,13.6899995803833,87.20010375976562
2025-03-13,22541.5,22558.05078125,22377.349609375,22397.19921875,287500.0,13.279999732971191,87.3405990600586
2025-03-14,22541.5,22558.05078125,22377.349609375,22397.19921875,287500.0,13.279999732971191,86.9220962524414
2025-03-17,22353.150390625,22577.0,22353.150390625,22508.75,251100.0,13.420000076293945,86.93900299072266
2025-03-18,22662.25,22857.80078125,22599.19921875,22834.30078125,272600.0,13.210000038146973,86.91639709472656
2025-03-19,22874.94921875,22940.69921875,22807.94921875,22907.599609375,324000.0,13.300000190734863,86.57610321044922
2025-03-20,23036.599609375,23216.69921875,22973.94921875,23190.650390625,313700.0,12.600000381469727,86.33709716796875
2025-03-21,23168.25,23402.69921875,23132.80078125,23350.400390625,541000.0,12.579999923706055,86.33609771728516
2025-03-24,23515.400390625,23708.75,23433.5,23658.349609375,311900.0,13.699999809265137,85.98699951171875
2025-03-25,23751.5,23869.599609375,23601.400390625,23668.650390625,338200.0,13.640000343322754,85.53209686279297
2025-03-26,23700.94921875,23736.5,23451.69921875,23486.849609375,278600.0,13.470000267028809,85.59040069580078
2025-03-27,23433.94921875,23646.44921875,23412.19921875,23591.94921875,510300.0,13.300000190734863,86.09539794921875
2025-03-28,23600.400390625,23649.19921875,23450.19921875,23519.349609375,295400.0,12.720000267028809,85.69490051269531
2025-03-31,23600.400390625,23649.19921875,23450.19921875,23519.349609375,295400.0,12.720000267028809,85.53880310058594
2025-04-01,23341.099609375,23565.150390625,23136.400390625,23165.69921875,314300.0,13.779999732971191,85.46810150146484
2025-04-02,23192.599609375,23350.0,23158.44921875,23332.349609375,341000.0,13.720000267028809,85.61009979248047
2025-04-03,23150.30078125,23306.5,23145.80078125,23250.099609375,283200.0,13.600000381469727,85.65119934082031
2025-04-04,23190.400390625,23214.69921875,22857.44921875,22904.44921875,466800.0,13.760000228881836,85.28289794921875
2025-04-07,21758.400390625,22254.0,21743.650390625,22161.599609375,647100.0,22.790000915527344,85.529296875
2025-04-08,22446.75,22697.19921875,22270.849609375,22535.849609375,468300.0,20.440000534057617,86.0270004272461
2025-04-09,22460.30078125,22468.69921875,22353.25,22399.150390625,383800.0,21.43000030517578,86.435302734375
2025-04-10,22460.30078125,22468.69921875,22353.25,22399.150390625,383800.0,21.43000030517578,86.20929718017578
2025-04-11,22695.400390625,22923.900390625,22695.400390625,22828.55078125,402200.0,20.110000610351562,86.2603988647461
2025-04-14,22695.400390625,22923.900390625,22695.400390625,22828.55078125,402200.0,20.110000610351562,86.19300079345703
2025-04-15,23368.349609375,23368.349609375,23207.0,23328.55078125,388300.0,16.1299991607666,86.0447998046875
2025-04-16,23344.099609375,23452.19921875,23273.05078125,23437.19921875,348400.0,15.869999885559082,85.72669982910156
2025-04-17,23401.849609375,23872.349609375,23298.55078125,23851.650390625,505300.0,15.470000267028809,85.62049865722656
2025-04-21,23949.150390625,24189.55078125,23903.650390625,24125.55078125,406100.0,15.520000457763672,85.62049865722656
2025-04-22,24185.400390625,24242.599609375,24072.0,24167.25,440900.0,15.229999542236328,85.15889739990234
